title,current_price,original_price,discount_percentage,rating,num_reviews,is_prime,is_sponsored,product_url,asin,image_url
"Silicone Case for OnePlus 13, Deep Purple | Soft Silicone Silky Touch Easy Clean, Shockproof Slim Phone Cover, Upgraded Camera Protection, Anti-Scratch Microfiber Lining",$9.99,$11.99,Save 17%,4.6 out of 5 stars,"1,271 ratings",False,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjA3MTE5OTIxMzYwNjg6MTc4NTMwNjc5ODpzcF9hdGY6MzAwNzg5NTY4OTU3NTAyOjowOjo&url=%2FBtstring-Silicone-OnePlus-13-Purple%2Fdp%2FB0DNSNHMSQ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1WG0D19UWW7LP%26dib%3DeyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8%26dib_tag%3Dse%26keywords%3Doneplus%2Bphone%2Bcases%26qid%3D1785306797%26sprefix%3Doneplus%2Bphone%2Bcases%252Caps%252C358%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B0DNSNHMSQ,https://m.media-amazon.com/images/I/61KZStNxp0L._AC_UY218_.jpg
"for OnePlus 10 Pro Case 5G, Soft TPU Artificial Leather Back, Extremely Light Ultra-Light Cover, Anti-Fingerprint-Scratch Camera Protection Phone Case for Oneplus 10 Pro (Purple)",$9.99,,,4.3 out of 5 stars,365 ratings,False,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjA3MTE5OTIxMzYwNjg6MTc4NTMwNjc5ODpzcF9hdGY6MjAwMDUzOTMyMTY4Njk4OjowOjo&url=%2FPuxssul-Artificial-Extremely-Ultra-Light-Protection%2Fdp%2FB09XKB5277%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1WG0D19UWW7LP%26dib%3DeyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8%26dib_tag%3Dse%26keywords%3Doneplus%2Bphone%2Bcases%26qid%3D1785306797%26sprefix%3Doneplus%2Bphone%2Bcases%252Caps%252C358%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B09XKB5277,https://m.media-amazon.com/images/I/71LeLTqDRBL._AC_UY218_.jpg
"For OnePlus Nord N200 5G Case: Shockproof Non Slip Drop Protection | Matte Textured, Heavy Duty Military Grade Anti-Scratch, Protective Cell Phone Cover, for Daily Use, Black (6.49 inches)",$7.99,,,4.6 out of 5 stars,"7,940 ratings",False,False,https://www.amazon.com/OnePlus-Nord-N200-Case-Protectors/dp/B097XLH91J/ref=sr_1_3?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-3,B097XLH91J,https://m.media-amazon.com/images/I/711PLN4i9YL._AC_UY218_.jpg
"Gritup Fit for OnePlus Nord N30 5G Case with Slide Camera Cover & Screen Protector (2 Pack), Build in 360° Rotating Ring Kickstand [Military Grade] Protective Case for Nord N30 5g Case, Black",$6.88,,,4.5 out of 5 stars,"1,035 ratings",False,False,https://www.amazon.com/Protector-Rotating-Kickstand-Military-Protective/dp/B0CJ2Y5CF5/ref=sr_1_4?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-4,B0CJ2Y5CF5,https://m.media-amazon.com/images/I/81pzAxDntJL._AC_UY218_.jpg
"Oneplus Nord N200 5G Case: Military Grade 16ft Drop Tested, Ring Shockproof Protective Cover with HD Screen Protector, Blue",$8.97,,,4.6 out of 5 stars,646 ratings,False,False,https://www.amazon.com/Aozuoton-Oneplus-Nord-N200-5G/dp/B0B4FYJLST/ref=sr_1_5?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-5,B0B4FYJLST,https://m.media-amazon.com/images/I/61uS6xK-MEL._AC_UY218_.jpg
"for OnePlus Nord N200 5G Phone case, Shockproof, Scratch Resistant Carbon Fiber Jacket, Soft TPU, for OnePlus Nord N200 5G case (Black)",$6.58,,,4.2 out of 5 stars,85 ratings,False,False,https://www.amazon.com/Aikcks-OnePlus-Shockproof-Scratch-Resistant/dp/B0C5HLHBY1/ref=sr_1_6?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-6,B0C5HLHBY1,https://m.media-amazon.com/images/I/71pp-s-yx1L._AC_UY218_.jpg
"Cute Cheetah Print Phone Case for OnePlus Nord N30 5g 6.72"", Aesthetic Coquette Black Leopard Pattern Design Case Soft Slim Shockproof TPU Protective Funda Cover for Women Girls",$12.99,,,4.4 out of 5 stars,229 ratings,False,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjA3MTE5OTIxMzYwNjg6MTc4NTMwNjc5ODpzcF9tdGY6MzAxMzg3NDExODY2MzAyOjowOjo&url=%2Flioscre-OnePlus-Nord-N30-5g%2Fdp%2FB0DXQTRMT3%2Fref%3Dsr_1_7_sspa%3Fcrid%3D1WG0D19UWW7LP%26dib%3DeyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8%26dib_tag%3Dse%26keywords%3Doneplus%2Bphone%2Bcases%26qid%3D1785306797%26sprefix%3Doneplus%2Bphone%2Bcases%252Caps%252C358%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B0DXQTRMT3,https://m.media-amazon.com/images/I/61J8aEF1pdL._AC_UY218_.jpg
Osophter for Oneplus Nord N10 Case Shock-Absorption Flexible TPU Rubber Protective Cell Phone Cover for Oneplus Nord N10 5G(Black),$7.99,,,4.5 out of 5 stars,953 ratings,False,False,https://www.amazon.com/Osophter-Oneplus-Shock-Absorption-Flexible-Protective/dp/B08MFDSNHR/ref=sr_1_8?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-8,B08MFDSNHR,https://m.media-amazon.com/images/I/61tdTwBl5RL._AC_UY218_.jpg
"FNTCASE for OnePlus 15 Case, Fit for Magsafe, Screen Protector, Black | Translucent Matte Magnetic Back, 14FT Military Grade Drop Protection, Shockproof Protective Phone Cover",$8.53,$14.99,-43%,4.5 out of 5 stars,"31,877 ratings",False,False,https://www.amazon.com/FNTCASE-Oneplus-Case-Translucent-Shockproof/dp/B0G1GYN2LG/ref=sr_1_9?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-9,B0G1GYN2LG,https://m.media-amazon.com/images/I/71Uv2FUeXEL._AC_UY218_.jpg
"ATUMP for OnePlus Nord N200 5G Case with HD Screen Protector with Slide Camera Cover, 360° Rotation Ring Kickstand [Military Grade] Shockproof Protective Case for OnePlus Nord N200 5G,Black",$7.77,,Save 5%,4.4 out of 5 stars,"2,043 ratings",False,False,https://www.amazon.com/ATUMP-OnePlus-Nord-N200-5G/dp/B0B214VLS8/ref=sr_1_10?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-10,B0B214VLS8,https://m.media-amazon.com/images/I/81a-r8tw-fL._AC_UY218_.jpg
"DETUOSI Oneplus Nord N200 5G Phone Case, Built in Screen Protector, Oneplus Nord N200 5G Shockproof Case [360 Full Body Protection], 3 in 1 Clear Protection Phone Case for 1+Nord N200 5G, Black",$9.99,,,4.5 out of 5 stars,403 ratings,False,False,https://www.amazon.com/DETUOSI-Oneplus-Protector-Shockproof-Protection/dp/B0B4WRPC2Z/ref=sr_1_11?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-11,B0B4WRPC2Z,https://m.media-amazon.com/images/I/61vnKb8kS1S._AC_UY218_.jpg
"for oneplus 15R Case 5G 6.83"", [10FT Military Grade Drop Test] Black Silicone Planet Soft Slim TPU Protective Shockproof Phone Case Cover (Starry Sky)",$13.99,,5% off coupon applied,,,False,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjA3MTE5OTIxMzYwNjg6MTc4NTMwNjc5ODpzcF9tdGY6MzAxMTM5NzYzODM1MDAyOjowOjo&url=%2FDcwunk-Military-Silicone-Protective-Shockproof%2Fdp%2FB0G6K4M89G%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1WG0D19UWW7LP%26dib%3DeyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8%26dib_tag%3Dse%26keywords%3Doneplus%2Bphone%2Bcases%26qid%3D1785306797%26sprefix%3Doneplus%2Bphone%2Bcases%252Caps%252C358%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,B0G6K4M89G,https://m.media-amazon.com/images/I/71wlAlzMAkL._AC_UY218_.jpg
Dionsibei Military Grade Drop Impact for Oneplus Nord N200 5G Case 360 Metal Rotating Ring Kickstand Holder Armor Heavy Duty Shockproof for Oneplus Nord N200 5G Phone Case (Red),$7.88,,,4.5 out of 5 stars,"1,069 ratings",False,False,https://www.amazon.com/Military-Oneplus-Rotating-Kickstand-Shockproof/dp/B09F72K1NW/ref=sr_1_13?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-13,B09F72K1NW,https://m.media-amazon.com/images/I/71ZkWrm9ikL._AC_UY218_.jpg
"for OnePlus 8【Not fit 8T】 Case, for OnePlus 1+8 Case Dual Layer Protective Heavy Duty Armor Rugged [Military-Grade] Protective，for OnePlus 8 Magnetic Kickstand Car Holder Slim Phone Case",$8.58,,,4.2 out of 5 stars,41 ratings,False,False,https://www.amazon.com/Anvzle-Protective-Military-Grade-Protective%EF%BC%8C-Kickstand/dp/B0DLGM498J/ref=sr_1_14?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-14,B0DLGM498J,https://m.media-amazon.com/images/I/61oVXGVGk9L._AC_UY218_.jpg
"FNTCASE for OnePlus 13 Case: Non Slip One Plus 13 Matte TPU Shockproof | 14FT Military Grade Drop Protection, Anti-Scratch, Anti-Fingerprint Protective Cell Phone Cover, for Daily Use, Black",$7.99,,,4.6 out of 5 stars,"47,126 ratings",False,False,https://www.amazon.com/FNTCASE-OnePlus-13-Case-Lightweight/dp/B0FGJQY65K/ref=sr_1_15?crid=1WG0D19UWW7LP&dib=eyJ2IjoiMSJ9.vCo7IXRofx9vPxeitOnDz4-l1L5rcm4mHl0RClKFv3SZVjTLjh8hIy4GARmP3CZ6MY0g3qPiYVWJdoEhq1RveiTYt7YyZ-HAH7Rp6nqml78VUjAp2tyJ_iU29S4cdtRRPPr1EgcmqLk0G374CDCxXY_q9VVib5kTueDl3UNrWVD-ckOlAZKVMevA4TKpzSr9AjVZwNdqDmdDm60sgQNwr_xvhtnbWKweiX-a5p59W_A.yiUt0_HGTM8PfZ30Fn9YrEsu8p3N_DliXxJyCpkj-n8&dib_tag=se&keywords=oneplus+phone+cases&qid=1785306797&sprefix=oneplus+phone+cases%2Caps%2C358&sr=8-15,B0FGJQY65K,https://m.media-amazon.com/images/I/71eZKQ7mm1L._AC_UY218_.jpg
